Name;Owner;Product;Production;Latitude;Longitude
Schwedt;PCK Raffinerie GmbH;Crude;11600000;53.93079;14.23071
Karlsruhe;MiRo Mineraloelraffinerie Oberrhein GmbH & Co.;Crude;14900000;49.55892;8.325426
Bayern;Bayernoil-Raffineriegesellschaft mbH;Crude;10300000;48.767031;11.598385
BP Lingen;BP;Crude;4700000;52.560432;7.307695
Kösching;Gunvor Refinery Ingolstadt GmbH;Crude;5000000;48.791241;11.476996
Wilhelmshaven;HES Wilhelmshaven Tank Terminal GmbH;Crude;3000000;53.61286;8.99983
Salzbergen;H & R Chemical-Pharmaceutical Specialties GmbH;Lubricating oil;220000;52.316957;7.347908
Hamburg;H & R Oelwerke Schindler;Base oil;240000;53.513608;9.951959
Hamburg2;Holborn Europa Refinery GmbH;Crude;5150000;53.476883;9.952667
Webau;Mitteldeutsches Bitumenwerk GmbH;Bitumen;195000;51.182071;12.66997
Hamburg3;Nynas GmbH & Co. KG;Crude;1825000;53.482429;9.97276
Burghausen;OMV Deutschland Operations GmbH & Co. KG;Crude;3700000;48.186881;12.843028
Heide;Refinery Heide GmbH;Crude;4200000;54.157761;9.72925
Gelsenkirchen;Ruhr Oil GmbH;Crude;12800000;51.598808;7.30731
Wesseling South;Shell Energy and Chemicals Park Rhineland;Crude;7300000;50.818379;7.6485
Wesseling North;Shell Energy and Chemicals Park Rhineland;Crude;9300000;50.861539;6.98554
Spergau;TotalEnergies Raffinerie Mitteldeutschland GmbH;Crude;12000000;51.289554;11.99572
Brunsbüttel;TotalEnergies Bitumen Deutschland GmbH & Co.;Bitumen;570000;53.911833;9.190672
